id,PK,PKINT,LABEL,BEGIN_DAT,ABW_BEHANDLUNG,KAPAZITAET,long,lat
1,1-00000010,ATTP_1-00000010,Eisenstadt (Eisbachtal),1/1/2022,CNDP,54000,16.54224498,47.83113888
2,1-W1,ATTP_1-W1,Wimpassing/Leitha,1/1/2022,CNDP,5000,16.43695538,47.92599191
3,1-00000145,ATTP_1-00000145,Schützen (Neusiedlersee-Westufer),1/1/2022,CNDP,66500,16.64816526,47.85805405
4,1-00000074,ATTP_1-00000074,Wulkaprodersdorf (Wulkatal),1/1/2022,CNDP,110000,16.51725031,47.80061661
5,1-00000040,ATTP_1-00000040,Neufeld (Neufelderseengebiet),1/1/2022,CNDP,28700,16.38376828,47.88155231
6,1-00000020,ATTP_1-00000020,Heiligenbrunn,1/1/2022,CNDP,2500,16.45185355,47.0124394
7,1-00000064,ATTP_1-00000064,Bocksdorf (Oberes Stremtal),1/1/2022,CNDP,12500,16.18309701,47.13817813
8,1-00000079,ATTP_1-00000079,Glasing (Mittleres Strem- und Zickenbachtal),1/1/2022,CNDP,35000,16.36511438,47.04777715
9,1-00000133,ATTP_1-00000133,Heiligenkreuz/Lafnitztal (Bez.Jennersdorf) Lafnitztal-Raabtal,1/1/2022,CNDP,130000,16.25821945,46.96591435
11,1-00000112,ATTP_1-00000112,Halbturn,1/1/2022,CNDP,7000,17.0009841,47.8558223
13,1-00000027,ATTP_1-00000027,Jois,1/1/2022,CNDP,8400,16.79380116,47.94911158
14,1-00000078,ATTP_1-00000078,Nickelsdorf (Nickelsdorf - Zurndorf),1/1/2022,CNDP,12500,17.08940875,47.94475321
15,1-00000001,ATTP_1-00000001,Andau,1/1/2022,CNDP,13500,17.04913648,47.77866712
17,1-00000077,ATTP_1-00000077,Pamhagen (Seewinkel),1/1/2022,CNDP,30000,16.87319418,47.72036938
18,1-00000016,ATTP_1-00000016,Gols (Gols - Mönchhof),1/1/2022,CNDP,40000,16.92004324,47.88574748
19,1-00000018,ATTP_1-00000018,"Großwarasdorf, Nebersdorf, Langental",1/1/2022,CNDP,2500,16.57342342,47.50470263
20,1-00000093,ATTP_1-00000093,Lutzmannsburg (Lutzmannsburg - Frankenau),1/1/2022,CNDP,9000,16.66122332,47.45595799
21,1-00000030,ATTP_1-00000030,Klostermarienberg (Lockenhaus) Günstal,1/1/2022,CNDP,15200,16.58038362,47.42425385
22,1-00000044,ATTP_1-00000044,Oberpullendorf (Mittleres Burgenland) Stooberbachtal,1/1/2022,CNDP,25000,16.5274033,47.48878171
23,1-00000005,ATTP_1-00000005,Deutschkreuz (Mittleres Burgenland) Goldbachtal,1/1/2022,CNDP,65000,16.64063642,47.59448987
24,1-00000060,ATTP_1-00000060,Schandorf - Schachendorf,1/1/2022,CNDP,2000,16.41947227,47.23798984
25,1-00000153,ATTP_1-00000153,"Hochneukirchen, Harmannsdorf, Züggen, Kirchschlagl, Maltern, Offenegg",1/1/2022,CNDP,2400,16.20673391,47.42249582
26,1-00000111,ATTP_1-00000111,Kleinzicken (Tauchental),1/1/2022,CNDP,4000,16.32678693,47.20788774
27,1-00000006,ATTP_1-00000006,Deutsch Schützen (Deutsch Schützen - Höll),1/1/2022,CNDP,4100,16.44703072,47.13695091
28,1-00000036,ATTP_1-00000036,Mischendorf,1/1/2022,CNDP,5000,16.34646273,47.18622678
29,1-00000055,ATTP_1-00000055,Rechnitz,1/1/2022,CNDP,6000,16.45340333,47.30154333
30,1-00000103,ATTP_1-00000103,Burg (Tauchental),1/1/2022,CNDP,7000,16.41322831,47.20458467
31,1-00000081,ATTP_1-00000081,Wolfau (Stögersbachtal),1/1/2022,CNDP,14500,16.09176713,47.25350788
32,1-00000097,ATTP_1-00000097,Neumarkt (Tauchental),1/1/2022,CNDP,15000,16.29810897,47.28410776
33,1-00000050,ATTP_1-00000050,Riedlingsdorf (Oberes Pinkatal),1/1/2022,CNDP,25500,16.14864662,47.3286668
34,1-00000057,ATTP_1-00000057,Siget / Wart (Mittleres Pinka- und Zickenbachtal),1/1/2022,CNDP,45000,16.27843123,47.25370566
35,2-K1720229R0,ATTP_2-K1720229R0,Gemeinde Albeck,1/1/2022,CNDP,2350,14.07583994,46.82534515
36,2-K1939137,ATTP_2-K1939137,WV Ossiacher See,1/1/2022,CNDP,50000,14.0817053,46.71209095
37,2-K1543752R0,ATTP_2-K1543752R0,ABKM ABKM-Abwasserbeseitigung Kötschach-Mauthen Errichtung und Betriebsgesellschaft,1/1/2022,CNDP,7000,13.01540951,46.66993525
38,2-K1949430,ATTP_2-K1949430,Abwasserverband Karnische Region,1/1/2022,CNDP,44000,13.49113691,46.61032181
39,2-K1931629,ATTP_2-K1931629,Wasserverband Wörthersee Ost,1/1/2022,CNDP,300000,14.33369434,46.60608344
40,2-K1950740,ATTP_2-K1950740,Marktgemeinde Grafenstein,1/1/2022,CNDP,2650,14.48855036,46.60449558
41,2-K1950745,ATTP_2-K1950745,Gemeinde Ludmannsdorf,1/1/2022,CNDP,3000,14.18957537,46.53854421
42,2-K1950728,ATTP_2-K1950728,Gemeinde Feitritz i.R.,1/1/2022,CNDP,3750,14.2035545,46.53400098
43,2-K1933909,ATTP_2-K1933909,Gemeinde Poggersdorf,1/1/2022,CNDP,6500,14.42651862,46.64207797
44,2-K1950736,ATTP_2-K1950736,Stadtgemeinde Ferlach,1/1/2022,CNDP,10000,14.30460068,46.54251149
45,2-K2307771,ATTP_2-K2307771,WV Abwasserverband Görtschitztal,1/1/2022,CNDP,9000,14.53339051,46.73820788
46,2-K1933309,ATTP_2-K1933309,Gemeinde Großkirchheim,1/1/2022,CNDP,2250,12.8993669,46.94953062
47,2-K1762568R0,ATTP_2-K1762568R0,Marktgemeinde Winklern,1/1/2022,CNDP,2400,12.8929038,46.8607829
48,2-K1943810,ATTP_2-K1943810,Gemeinde Rennweg,1/1/2022,CNDP,3700,13.62219865,46.98902225
49,2-K1756402R0,ATTP_2-K1756402R0,Gemeinde Krems in Kärnten,1/1/2022,CNDP,4000,13.70863534,46.97661313
50,2-K1933251,ATTP_2-K1933251,Gemeinde Irschen,1/1/2022,CNDP,4950,13.02396981,46.73923139
51,2-K2391503,ATTP_2-K2391503,Gemeinde Dellach/Gemeinde Berg,1/1/2022,CNDP,7800,13.09935697,46.7383329
52,2-K1639918R0,ATTP_2-K1639918R0,Gemeinde Heiligenblut,1/1/2022,CNDP,8250,12.86667341,47.01535372
53,2-K2391520,ATTP_2-K2391520,Marktgemeinde Steinfeld und Greifenburg/Gemeinde Weißensee,1/1/2022,CNDP,13300,13.2608577,46.75477295
54,2-K1620535R0,ATTP_2-K1620535R0,WV Reinhalteverband Mölltal,1/1/2022,CNDP,15000,13.21649411,46.91934007
55,2-K1949374,ATTP_2-K1949374,WV Millstätter See,1/1/2022,CNDP,130000,13.51901161,46.77958116
56,2-K1608259R0,ATTP_2-K1608259R0,Marktgemeinde Hüttenberg,1/1/2022,CNDP,3500,14.54809286,46.9283197
57,2-K1610301R0,ATTP_2-K1610301R0,WV Abwasserverband Raum Friesach-Althofen,1/1/2022,CNDP,32000,14.45576941,46.86082003
58,2-K1610676R0,ATTP_2-K1610676R0,Reinhalteverband für das Gebiet St. Veit/Glan,1/1/2022,CNDP,65000,14.38532704,46.73996912
59,2-K1939997,ATTP_2-K1939997,Stadtgemeinde Villach,1/1/2022,CNDP,250000,13.87713878,46.61202788
60,2-K1843518R0,ATTP_2-K1843518R0,ABUG-Abwasserbeseitigung Unteres Gailtal Errichtungs- und Betriebsgesellschaft,1/1/2022,CNDP,6425,13.61927003,46.58127377
61,2-K1669675R0,ATTP_2-K1669675R0,Gemeinde Ferndorf,1/1/2022,CNDP,7000,13.63878145,46.72311201
62,2-K1822227R0,ATTP_2-K1822227R0,Wasserverband Unteres Drautal,1/1/2022,CNDP,23000,13.72896094,46.67168389
63,2-K1944050,ATTP_2-K1944050,Abwasserverband Wörthersee West,1/1/2022,CNDP,44000,14.02400867,46.57321373
64,2-K1822657R0,ATTP_2-K1822657R0,WV Abwasserverband Völkermarkt-Jaunfeld (Tainach),1/1/2022,CNDP,2000,14.55178788,46.62292085
65,2-K1928170,ATTP_2-K1928170,Gemeinde Ruden,1/1/2022,CNDP,2000,14.83882343,46.66479913
66,2-K1859107R0,ATTP_2-K1859107R0,Gemeinde Gallizien,1/1/2022,CNDP,2550,14.5048294,46.56838015
67,2-K1672421R0,ATTP_2-K1672421R0,Marktgemeinde Eisenkappel-Vellach,1/1/2022,CNDP,4000,14.57898745,46.51110898
68,2-K1679698R0,ATTP_2-K1679698R0,Marktgemeinde Griffen,1/1/2022,CNDP,4950,14.74323455,46.69906882
69,2-K1750774R0,ATTP_2-K1750774R0,Gemeinde St. Kanzian am Klopeinersee,1/1/2022,CNDP,25000,14.58631978,46.62058598
70,2-K1518811R0,ATTP_2-K1518811R0,WV Abwasserverband Völkermarkt-Jaunfeld (Eberndorf),1/1/2022,CNDP,46000,14.65381399,46.63991774
71,2-K1842816R0,ATTP_2-K1842816R0,Marktgemeinde Lavamünd,1/1/2022,CNDP,4000,14.97506135,46.61738338
72,2-K1702958R0,ATTP_2-K1702958R0,Abwasserverband "Oberes Lavanttal",1/1/2022,CNDP,8000,14.82924043,46.93277889
73,2-K1702940R0,ATTP_2-K1702940R0,Reinhalteverband "Mittleres Lavanttal",1/1/2022,CNDP,120000,14.84602768,46.73683344
74,3-609,ATTP_3-609,ARA Ferschnitz,1/1/2022,CNDP,2000,15.00078844,48.0995769
75,3-128,ATTP_3-128,ARA Wallsee-Sindelburg,1/1/2022,CNDP,2700,14.72357081,48.16784675
76,3-125,ATTP_3-125,ARA Hollenstein an der Ybbs,1/1/2022,CNDP,3000,14.7665889,47.80970513
77,3-147,ATTP_3-147,ARA Strengberg,1/1/2022,CNDP,3000,14.67302353,48.14605029
78,3-608,ATTP_3-608,ARA Ernsthofen,1/1/2022,CNDP,3700,14.47503868,48.14422791
80,3-180,ATTP_3-180,ARA Hainbuch Dorf an der Enns,1/1/2022,CNDP,4700,14.47626271,48.10215187
81,3-176,ATTP_3-176,ARA Ybbsitz,1/1/2022,CNDP,5000,14.85106695,47.94049086
82,3-109,ATTP_3-109,ARA Haag,1/1/2022,CNDP,8000,14.54557461,48.11476061
83,Mar-65,ATTP_3-65,ARA GAV Ennsdorf-St.Pantaleon,1/1/2022,CNDP,10000,14.536085,48.23035265
84,3-187,ATTP_3-187,ARA St. Valentin,1/1/2022,CNDP,15000,14.53702273,48.18056973
85,3-124,ATTP_3-124,ARA GAV Oberes Urltal,1/1/2022,CNDP,18000,14.70550697,48.05807065
86,3-104,ATTP_3-104,ARA GAV Amstetten,1/1/2022,CNDP,150000,14.89626011,48.10859961
87,3-805,ATTP_3-805,ARA Heiligenkreuz,1/1/2022,CNDP,4500,16.18298889,48.01936595
88,3-476,ATTP_3-476,ARA GV Altenmarkt an der Triesting - Kaumberg,1/1/2022,CNDP,5000,16.00865446,48.01078117
89,Mar-89,ATTP_3-89,ARA Sooß,1/1/2022,CNDP,6000,16.22584164,47.98342291
90,25-Mar,ATTP_3-25,ARA GAV Ebenfurth-Pottendorf,1/1/2022,CNDP,8500,16.40107892,47.91107855
91,3-184,ATTP_3-184,ARA Alland,1/1/2022,CNDP,10000,16.10103609,48.04145042
92,Mar-63,ATTP_3-63,ARA Seibersdorf,1/1/2022,CNDP,10000,16.49434637,47.94294065
93,Mar-36,ATTP_3-36,ARA Ebreichsdorf,1/1/2022,CNDP,20000,16.41378312,47.97230657
94,Mar-38,ATTP_3-38,ARA Traiskirchen,1/1/2022,CNDP,33000,16.30947471,48.03107084
95,Mar-43,ATTP_3-43,ARA GAV Trumau-Schönau,1/1/2022,CNDP,40000,16.3542273,48.00554532
96,29-Mar,ATTP_3-29,ARA Baden,1/1/2022,CNDP,45000,16.26404074,47.99467013
97,Mar-34,ATTP_3-34,ARA GV Abwasserbeseitigung Raum Bad Vöslau,1/1/2022,CNDP,120000,16.24238879,47.96897233
101,Mar-92,ATTP_3-92,ARA AV Raum Hainburg,1/1/2022,CNDP,15000,16.92768375,48.14439608
102,3-643,ATTP_3-643,ARA AV Großraum Bruck an der Leitha - Neusiedl am See,1/1/2022,CNDP,190000,16.82614633,48.03079808
103,3-843,ATTP_3-843,ARA Haringsee,1/1/2022,CNDP,2000,16.77394921,48.20067985
105,3-214,ATTP_3-214,ARA Erholungszentrum Lassee,1/1/2022,CNDP,2000,16.86414896,48.21979193
108,3-815,ATTP_3-815,ARA Engelhartstetten,1/1/2022,CNDP,2700,16.89475544,48.18744507
109,3-845,ATTP_3-845,ARA Jedenspeigen,1/1/2022,CNDP,3000,16.88455439,48.49414593
111,Mar-70,ATTP_3-70,ARA Prottes,1/1/2022,CNDP,3200,16.74161048,48.37318949
116,Mar-71,ATTP_3-71,ARA Hohenau an der March,1/1/2022,CNDP,5000,16.91370098,48.60620733
117,3-221,ATTP_3-221,ARA AV Sulzbach,1/1/2022,CNDP,6000,16.80821875,48.46524681
119,3-814,ATTP_3-814,ARA Leopoldsdorf im Marchfelde,1/1/2022,CNDP,6000,16.70823936,48.23210959
120,3-707,ATTP_3-707,ARA Angern an der March,1/1/2022,CNDP,8500,16.83135789,48.36298505
121,3-244,ATTP_3-244,ARA GAV Unteres Zayatal,1/1/2022,CNDP,9000,16.83150122,48.589822
122,Mar-72,ATTP_3-72,ARA Zistersdorf,1/1/2022,CNDP,9000,16.7804204,48.54719366
123,3-121,ATTP_3-121,ARA Deutsch-Wagram,1/1/2022,CNDP,12000,16.55752284,48.29318463
124,3-772,ATTP_3-772,ARA GAV Oberer Weidenbach,1/1/2022,CNDP,13000,16.60690417,48.43812407
125,3-729,ATTP_3-729,ARA GAV Mittlerer Weidenbach,1/1/2022,CNDP,14000,16.71213451,48.36466071
126,Mar-77,ATTP_3-77,ARA Gänserndorf,1/1/2022,CNDP,14000,16.73501508,48.34676958
127,3-134,ATTP_3-134,ARA GAV Marchfeld,1/1/2022,CNDP,42000,16.65304063,48.25906326
128,3-142,ATTP_3-142,ARA Groß-Enzersdorf,1/1/2022,CNDP,144000,16.54657213,48.17881476
130,Mar-88,ATTP_3-88,ARA AV Lainsitz-Mitte,1/1/2022,CNDP,5800,14.89223598,48.70629083
131,3-1701,ATTP_3-1701,ARA Litschau,1/1/2022,CNDP,6000,15.04238946,48.945062
132,3-757,ATTP_3-757,ARA AV Lainsitz,1/1/2022,CNDP,50000,14.95737939,48.79560059
134,3-136,ATTP_3-136,ARA VG Ravelsbach - Maissau,1/1/2022,CNDP,7372,15.88663247,48.55363734
135,Mar-99,ATTP_3-99,ARA GAV Raum Groß-Kadolz,1/1/2022,CNDP,8000,16.19230485,48.70988584
136,3-255,ATTP_3-255,ARA Sitzendorf an der Schmida,1/1/2022,CNDP,9200,15.93210242,48.56806275
137,3-346,ATTP_3-346,ARA Zellerndorf,1/1/2022,CNDP,9800,15.98895014,48.69988726
138,3-127,ATTP_3-127,ARA Ziersdorf,1/1/2022,CNDP,11000,15.94288035,48.52843464
140,Mar-81,ATTP_3-81,ARA Retz,1/1/2022,CNDP,13477,15.96567607,48.75449607
141,3-345,ATTP_3-345,ARA Pulkau,1/1/2022,CNDP,13500,15.88098509,48.69980134
142,3-728,ATTP_3-728,ARA GAV Gmoosbach,1/1/2022,CNDP,14240,16.08598441,48.59950062
143,10-Mar,ATTP_3-10,ARA Hollabrunn,1/1/2022,CNDP,30000,16.0729555,48.54842103
145,3-850,ATTP_3-850,ARA GAV Maignerbach,1/1/2022,CNDP,6000,15.81839807,48.67680813
147,3-848,ATTP_3-848,ARA GAV Eggenburg - Röschitz,1/1/2022,CNDP,22000,15.90451831,48.6589351
150,3-830,ATTP_3-830,ARA Harmannsdorf,1/1/2022,CNDP,4600,16.36892089,48.37959066
152,3-1041,ATTP_3-1041,ARA EVN Wasser (GAV Senningbach),1/1/2022,CNDP,5000,16.23903921,48.45886042
153,3-829,ATTP_3-829,ARA GAV Unteres Schmidatal,1/1/2022,CNDP,6000,16.10753379,48.36946473
154,3-828,ATTP_3-828,ARA GAV Sierndorf - Göllersdorf,1/1/2022,CNDP,9000,16.16775933,48.42029019
155,3-150,ATTP_3-150,ARA Stockerau,1/1/2022,CNDP,30000,16.22972455,48.38420854
156,3-132,ATTP_3-132,ARA AV Raum Korneuburg,1/1/2022,CNDP,80000,16.33198562,48.33243406
157,3-689,ATTP_3-689,ARA Rastenfeld,1/1/2022,CNDP,3000,15.33965249,48.59412021
158,3-253,ATTP_3-253,ARA Lengenfeld,1/1/2022,CNDP,4000,15.61639256,48.47577967
160,3-851,ATTP_3-851,ARA GAV Langenlois - Schönberg am Kamp,1/1/2022,CNDP,70000,15.70215604,48.46930981
161,3-119,ATTP_3-119,ARA GAV Raum Krems an der Donau,1/1/2022,CNDP,255000,15.66287142,48.40074747
164,3-369,ATTP_3-369,ARA AV Gölsental,1/1/2022,CNDP,18000,15.63270519,48.05282931
165,3-243,ATTP_3-243,ARA Hürm,1/1/2022,CNDP,2000,15.41925469,48.15645895
166,3-305,ATTP_3-305,ARA Kilb,1/1/2022,CNDP,2000,15.41492088,48.10541862
167,3-234,ATTP_3-234,ARA Bischofstetten,1/1/2022,CNDP,2200,15.46882836,48.12552121
168,3-287,ATTP_3-287,ARA GV Abwasser Kirnberg - Texingtal,1/1/2022,CNDP,2800,15.318221,48.07735215
171,Mar-84,ATTP_3-84,ARA Mank,1/1/2022,CNDP,4800,15.3372404,48.11472916
172,Mar-46,ATTP_3-46,ARA Pöggstall,1/1/2022,CNDP,5270,15.21393366,48.31530941
174,3-477,ATTP_3-477,ARA GAV Ruprechtshofen - St. Leonhard am Forst,1/1/2022,CNDP,8000,15.25970765,48.14989791
176,7-Mar,ATTP_3-7,ARA GV Abwasserreinigung im südlichen Waldviertel,1/1/2022,CNDP,16800,15.23457581,48.21910441
177,6-Mar,ATTP_3-6,ARA AV Ybbsfeld,1/1/2022,CNDP,20000,15.09129355,48.16909534
179,3-390,ATTP_3-390,ARA Ottenthal,1/1/2022,CNDP,2000,16.57808482,48.76912526
181,3-380,ATTP_3-380,ARA Altlichtenwarth,1/1/2022,CNDP,2016,16.7886372,48.6466963
184,3-254,ATTP_3-254,ARA Neudorf bei Staatz,1/1/2022,CNDP,3000,16.47712368,48.72237077
185,3-687,ATTP_3-687,ARA Stronsdorf,1/1/2022,CNDP,3000,16.29256722,48.66383598
186,3-382,ATTP_3-382,ARA Bernhardsthal,1/1/2022,CNDP,3100,16.87743636,48.69390831
188,3-686,ATTP_3-686,ARA Schrattenberg,1/1/2022,CNDP,4000,16.73672659,48.71727339
189,Mar-67,ATTP_3-67,ARA Großkrut,1/1/2022,CNDP,4000,16.73394956,48.63851894
190,3-386,ATTP_3-386,ARA Großebersdorf,1/1/2022,CNDP,4350,16.46949287,48.35913912
192,3-682,ATTP_3-682,ARA GAV Oberes Zayatal,1/1/2022,CNDP,4800,16.50898141,48.57556924
193,3-301,ATTP_3-301,ARA AV Oberes Russbachtal,1/1/2022,CNDP,6000,16.42632401,48.44223393
194,3-683,ATTP_3-683,ARA Herrnbaumgarten,1/1/2022,CNDP,6000,16.70332659,48.69907604
195,3-705,ATTP_3-705,ARA GAV Drasenhofen,1/1/2022,CNDP,7300,16.65923687,48.76585091
196,3-152,ATTP_3-152,ARA GAV Mittleres Rußbachtal,1/1/2022,CNDP,13500,16.49892702,48.3941184
197,3-733,ATTP_3-733,ARA GAV Taschlbach,1/1/2022,CNDP,14000,16.51035622,48.54030259
198,3-159,ATTP_3-159,ARA Poysdorf,1/1/2022,CNDP,19800,16.68650914,48.65216055
199,3-1050,ATTP_3-1050,ARA GAV Laaer Becken,1/1/2022,CNDP,20800,16.39152633,48.73146615
200,3-764,ATTP_3-764,ARA Mistelbach,1/1/2022,CNDP,25000,16.61052318,48.57042607
201,3-120,ATTP_3-120,ARA GAV Wolkersdorf - Pillichsdorf - Großengersdorf,1/1/2022,CNDP,35000,16.55786071,48.35812467
203,3-402,ATTP_3-402,ARA Laxenburg,1/1/2022,CNDP,7200,16.36747195,48.06813318
204,3-396,ATTP_3-396,ARA AV Breitenfurt - Laab,1/1/2022,CNDP,12000,16.21128217,48.13647624
205,3-398,ATTP_3-398,ARA Gumpoldskirchen,1/1/2022,CNDP,15000,16.29329548,48.03464485
206,3-404,ATTP_3-404,ARA Vösendorf,1/1/2022,CNDP,20000,16.3590834,48.11759316
207,3-1022,ATTP_3-1022,ARA Guntramsdorf,1/1/2022,CNDP,27000,16.33317324,48.04203441
208,3-403,ATTP_3-403,ARA Mödling,1/1/2022,CNDP,103000,16.33021388,48.09619355
209,3-730,ATTP_3-730,ARA GAV Mittleres Pittental,1/1/2022,CNDP,6500,16.13016647,47.68678316
210,3-408,ATTP_3-408,ARA AV Grimmenstein-Edlitz-Thomasberg,1/1/2022,CNDP,10270,16.1299436,47.62840211
211,3-713,ATTP_3-713,ARA GAV Aspang - Feistritz,1/1/2022,CNDP,16000,16.11053756,47.59301851
212,3-182,ATTP_3-182,ARA AV Oberes Schwarzatal,1/1/2022,CNDP,40000,15.96079432,47.67530039
213,3-421,ATTP_3-421,ARA AV Mittleres Schwarzatal,1/1/2022,CNDP,41000,16.0468087,47.71853204
218,3-1610,ATTP_3-1610,ARA Gaming,1/1/2022,CNDP,5500,15.12653699,47.94007393
219,3-701,ATTP_3-701,ARA Göstling,1/1/2022,CNDP,7000,14.929764,47.81187633
220,3-424,ATTP_3-424,ARA GAV Kleines Erlauftal,1/1/2022,CNDP,10500,15.07552767,48.07065046
221,3-425,ATTP_3-425,ARA GAV Erlauftal,1/1/2022,CNDP,19000,15.14347232,48.0884368
