Firmen_Nam,Standort_N,Standort_B,Standort_P,Standort_O,Standort_S,Anlagenbez,X_Koordina,Y_Koordina
"""Braun Gesellschaft m.b.H.""",Sierning,Steyr-Land,4522,Sierning,Steyrerstraße 32,Bodenaushubdeponie,48.04384,14.31445
"""Braun Gesellschaft m.b.H.""",Sierninghofen,Steyr-Land,4522,Sierning,Steyrerstraße 32,Bodenaushubdeponie,48.04936,14.32892
Anton Pirovits Gesellschaft m.b.H.,Werk Riedledt,Kirchdorf,4643,Mitterndorf,Wengstraße 53,Bodenaushubdeponie,47.94771,13.99507
Anton Pirovits Gesellschaft m.b.H.,Werk Steinfelden,Kirchdorf,4643,Mitterndorf,Scharnsteiner Straße 63,Bodenaushubdeponie,47.91918,13.98891
ASAMER Kies- und Betonwerke GmbH,Deponieanlagen Ohlsdorf,Gmunden,4694,Unterthalham,Unterthalhamstr. 2,Bodenaushubdeponie,47.9519,13.8111
Auer Transporte GmbH,Kieswerk Ach,Braunau,5121,Hadermarkt,L501,Bodenaushubdeponie,48.1315,12.80365
AUSTRIA ASPHALT GmbH & Co OG,OOE-4121|D|Haselbach|AE,Rohrbach,4121,Haselbach,Haselbach 32,Bodenaushubdeponie,48.50249,13.95151
AUSTRIA ASPHALT GmbH & Co OG,OOE-4931|D|Mettmach|AE,Ried,4931,Großweiffendorf,Großweiffendorf,Bodenaushubdeponie,48.14546,13.35125
Bäck Baggerungen GmbH,Standort Gerhagen,Ried,4772,Gerhagen,Gerhagen 8,Bodenaushubdeponie,48.3203,13.54044
Baggerungen Wastl GmbH,Pichlmann,Vöcklabruck,4841,Ungenach,---,Bodenaushubdeponie,48.03467,13.60145
Bau Mayr Kies + Beton GmbH,Bodenaushubdeponie Wirglau II,Ried,4924,Waldzell,Wirglau,Bodenaushubdeponie,48.12248,13.45389
Bernegger GmbH,BA-Dep. Hargelsberg,Linz-Land,4483,Thann,Hart,Bodenaushubdeponie,48.16808,14.44198
Bernegger GmbH,BA-Dep. Micheldorf - Huber-Kienberg,Kirchdorf,4563,Micheldorf,Kienberg,Bodenaushubdeponie,47.86418,14.19113
Bernegger GmbH,Baurestmassendeponie Thann,Steyr-Land,4407,Dietach,Thann,Kompartiment für Asbestabfälle,48.12076,14.40647
Bernegger GmbH,Baurestmassendeponie Thann,Steyr-Land,4407,Dietach,Thann,Baurestmassendeponie,48.1201,14.40601
Bernegger GmbH,Bodenaushubdeponie Auerbach,Braunau,5222,Auerbach,Auerbach,Bodenaushubdeponie,48.06301,13.10342
Bernegger GmbH,Bodenaushubdeponie Engerwitzdorf - Reichinger,Urfahr-Umgebung,4209,Engerwitzdorf,Niederkulm,Bodenaushubdeponie,48.35871,14.38193
Bernegger GmbH,Bodenaushubdeponie Sierninghofen,Steyr-Land,4522,Sierning,Steyrer Straße,Bodenaushubdeponie,48.04939,14.32899
Bernegger GmbH,Bodenaushubdeponie Sydow,Kirchdorf,4564,Klaus an der Pyhrnbahn,B138 - nicht aufgeschlossenes Gebiet,Bodenaushubdeponie,47.81731,14.16196
Bernegger GmbH,Standort Dietach,Steyr-Land,4407,Dietach,Staningerstrasse 7,Bodenaushubdeponie,48.09824,14.45378
Bernegger GmbH,Standort Klaus-Habach,Kirchdorf,4571,Steyrling,Kniewass,Reststoffdeponie,47.78085,14.16379
Bernegger GmbH,Standort Klaus-Habach,Kirchdorf,4571,Steyrling,Kniewass,Baurestmassendeponie,47.78174,14.16303
Bernegger GmbH,Standort Spital/P.,Kirchdorf,4582,Spital am Pyhrn,Pyhrnpass Bundesstrasse,Bodenaushubdeponie,47.64155,14.33293
Bernegger GmbH,Werk Klaus,Kirchdorf,4564,Klaus an der Pyhrnbahn,Klaus an der Pyhrnbahn,Kompartiment für Asbestabfälle,47.84495,14.17444
Bernegger GmbH,Werk Klaus,Kirchdorf,4564,Klaus an der Pyhrnbahn,Klaus an der Pyhrnbahn,Baurestmassendeponie,47.84482,14.17415
Bernegger GmbH,Werk Klaus,Kirchdorf,4564,Klaus an der Pyhrnbahn,Klaus an der Pyhrnbahn,Bodenaushubdeponie,47.84064,14.16556
Bernegger GmbH,Werk Molln - Sitz Standort,Kirchdorf,4591,Molln,Gradau 15,Bodenaushubdeponie,47.90782,14.25551
Bernegger GmbH,Werk Ternberg,Steyr-Land,4452,Ternberg,Maireben 50,Kompartiment für Asbestabfälle,47.98134,14.36393
Bernegger GmbH,Werk Ternberg,Steyr-Land,4452,Ternberg,Maireben 50,Baurestmassendeponie,47.98213,14.36316
Bezirksabfallverband Rohrbach,Deponie Stollnberg,Rohrbach,4161,Stollnberg,Stollnberg 19,Baurestmassendeponie,48.669,13.93708
Bezirksabfallverband Rohrbach,Deponie Stollnberg,Rohrbach,4161,Stollnberg,Stollnberg 19,Kompartiment für Asbestabfälle,48.66932,13.93746
BFF-Transporte GmbH,Kemating KG 1850,Gmunden,4661,Roitham,Au,Bodenaushubdeponie,48.03771,13.82665
Böckl Erdbau und Abbruch GmbH,DEP Ebner St.Lorenz,Vöcklabruck,5310,Au,An der Drachenwand 33,Bodenaushubdeponie,47.8257,13.3365
Böckl Erdbau und Abbruch GmbH,DEP Wiener Innerschwand,Vöcklabruck,5311,Innerschwand,Auhof,Bodenaushubdeponie,47.8167,13.40286
BPM Abfallverwertung & Entsorgung GmbH,Bodenaushubdeponie Haiding,Wels-Land,4631,Krenglbach,Ziegeleistraße,Bodenaushubdeponie,48.20763,13.96979
BRÜDER RESCH HOCH- U. TIEFBAU GES.M.B.H. & CO.KG.,Ulrichsberg - Schindlau,Rohrbach,4161,Ulrichsberg,Steinmühle 3,Bodenaushubdeponie,48.66127,13.95721
Buchinger Schotterwerk GmbH,Stadl-Paura,Wels-Land,4651,Stadl-Traun,Waschenbergstraße 6,Bodenaushubdeponie,48.08418,13.89009
Buchschartner Erdbau-Abbruch GmbH,BA Dep. Feichten,Vöcklabruck,4893,Brandstatt,Brandstatt 0,Bodenaushubdeponie,47.91879,13.34146
Buchschartner Erdbau-Abbruch GmbH,Bodenaushubdeponie. Grube Hanslbauer,Vöcklabruck,5310,St. Lorenz,Gries 0,Bodenaushubdeponie,47.8178,13.36112
Buttenhauser GmbH,Deponie Burgkirchen,Braunau,5274,Albrechtsberg,Schiedweg,Bodenaushubdeponie,48.22213,13.05768
Deisl Kies GmbH,5233 Pischelsdorf / Deisl Kies GmbH,Braunau,5233,Wagenham,Kiesgrube Wagenham,Bodenaushubdeponie,48.09007,13.12145
Energie AG Oberösterreich Erzeugung GmbH,Standort Timelkam,Vöcklabruck,4850,Timelkam,Mühlfeld 2,Reststoffdeponie,48.01782,13.58981
Energie AG Oberösterreich Umwelt Service GmbH,Standort Unterhart/St. Martin,Rohrbach,4113,Unterhart,Unterhart 34,Reststoffdeponie,48.38699,14.03209
Energie AG Oberösterreich Umwelt Service GmbH,Standort Wels,Wels(Stadt),4600,Wels,Mitterhoferstraße 100,Reststoffdeponie,48.16713,14.07384
Erdbau Roman Beschta e.U.,Bodenaushubdeponie Thal,Wels-Land,4623,Thal,Thal,Bodenaushubdeponie,48.16788,13.93111
Falkensteiner Stefan,Deponie Steinbruch,Gmunden,4820,Steinbruch,Vorsteherweg 7a,Bodenaushubdeponie,47.71807,13.60915
Felbermayr Bau GmbH & Co KG,Deponiepark Wels Nord,Wels(Stadt),4600,Puchberg,Mitterlaab,Bodenaushubdeponie,48.20651,14.02815
Felbermayr Bau GmbH & Co KG,Deponiepark Wels Nord,Wels(Stadt),4600,Puchberg,Mitterlaab,Baurestmassendeponie,48.20438,14.0268
Felbermayr Bau GmbH & Co KG,Deponiepark Wels Nord,Wels(Stadt),4600,Puchberg,Mitterlaab,Asbestkompartiment,48.20435,14.02647
Felix Mitter Bau GmbH,Kronstorf,Linz-Land,4484,Dörfling,Dörfling 2,Bodenaushubdeponie,48.13212,14.44364
Franz Leidinger Ges.m.b.H.,Bodenaushubdeponie Hungberg,Grieskirchen,4724,Neukirchen am Walde,Hungberg,Bodenaushubdeponie,48.39465,13.7733
Franz MAIER GesmbH Schottergewinnung-Erdbewegungen,FM Deponie 1,Braunau,5221,Oberweißau,---,Bodenaushubdeponie,48.03003,13.17106
Franz MAIER GesmbH Schottergewinnung-Erdbewegungen,FM Deponie 3,Braunau,5225,Abern,Babenhamer Landesstraße,Bodenaushubdeponie,48.04146,13.16068
Franz Moser Schotter- und Betonwerke GmbH,Bodenaushubdeponie Moser II,Braunau,5280,Braunau am Inn,Burgkirchnerstraße  8,Bodenaushubdeponie,48.22216,13.05744
Franz Moser Schotter- und Betonwerke GmbH,Neukirchen/Enknach,Braunau,5280,Braunau am Inn,Burgkirchner Straße 8,Bodenaushubdeponie,48.22846,13.05565
Franz Riedl Erdbau GmbH,Hinding,Vöcklabruck,4861,Schörfling,------------,Bodenaushubdeponie,47.94189,13.6364
Franz Riedl Erdbau GmbH,Höllbach,Gmunden,4820,Bad Ischl,------,Bodenaushubdeponie,47.7812,13.63451
Franz Riedl Erdbau GmbH,Röthleitner Oberwang,Vöcklabruck,4882,Oberwang,"Parzelle 3548, Katastralgem. Oberwang (50108)",Bodenaushubdeponie,47.86054,13.43916
Franz Riedl GmbH,Hinding,Vöcklabruck,4861,Schörfling,---,Bodenaushubdeponie,47.9417,13.63659
Franz Riedl GmbH,Höllbach,Gmunden,4820,Jainzen,Höllbach,Bodenaushubdeponie,47.78105,13.63526
Franz Riedl GmbH,Röthleitner Oberwang,Vöcklabruck,4882,Oberwang,"Pazelle 3548, Katastralgem. Oberwang (50108)",Bodenaushubdeponie,47.86059,13.43907
"Gebrüder Haider, Bauunternehmung Gesellschaft m.b.H.",BAD Dipoldsau,Steyr-Land,3335,Weyer,B115 Eisenstraße,Bodenaushubdeponie,47.86216,14.60951
"Gebrüder Haider, Bauunternehmung Gesellschaft m.b.H.",BAD Krenn,Steyr-Land,4463,Neustiftgraben,Großramingstraße L557,Bodenaushubdeponie,47.91525,14.58179
Gemeinde Enzenkirchen,Matzing,Schärding,4761,Enzenkirchen,---,Bodenaushubdeponie,48.38722,13.69001
Gemeinde Neukirchen an der Enknach,Gemeindedeponie,Braunau,5145,Neukirchen an der Enknach,Lachforst,Bodenaushubdeponie,48.20646,13.03276
Gemeinde Pennewang,Bodenaushubdeponie Dirnberg,Wels-Land,4624,Dirnberg,Dirnberg 1,Bodenaushubdeponie,0,0
Gemeinde Pennewang,Bodenaushubdeponie Felling,Wels-Land,4624,Pennewang,"-",Bodenaushubdeponie,48.14052,13.84115
Gemeinde Schlierbach,Deponie Schlierbach,Kirchdorf,4563,Micheldorf,"-",Bodenaushubdeponie,47.88503,14.11983
Gemeinde St. Agatha,Gemeinde,Grieskirchen,4084,Sankt Agatha,Kirchenplatz 1,Bodenaushubdeponie,48.38444,13.90293
Gemeinde Vichtenstein,Kothau,Schärding,4091,Vichtenstein,Vichtenstein,Bodenaushubdeponie,48.52022,13.6486
Gemeinde Waldkirchen am Wesen,Erdaushubdeponie Waldkirchen/Erledt,Schärding,4085,Erledt,Erledt 6,Bodenaushubdeponie,48.42945,13.83352
Gemeinde Weibern,Deponie Weibern,Grieskirchen,4675,Auhäuseln,Auweg,Bodenaushubdeponie,48.18135,13.70924
Guggenberger Erdbau GmbH,Deponie Feldkirchen,Braunau,5143,Gietzing,Gietzing,Bodenaushubdeponie,48.05045,13.06248
H.Burgstaller Gesellschaft m.b.H.,Geländekorrektur Neudorfer Hofkirchen,Grieskirchen,4716,Hofkirchen an der Trattnach,Strötting,Bodenaushubdeponie,48.22479,13.73179
HAGER TIEFBAU Ges.m.b.H.,Gilgenberg,Braunau,5133,Ruderstallgassen,Ruderstallgassen 15,Bodenaushubdeponie,48.14421,12.90732
HAGER TIEFBAU Ges.m.b.H.,Bodenaushubdeponie Tarsdorf,Braunau,5121,Staig,Staig,Bodenaushubdeponie,48.0664,12.80152
HAGER TIEFBAU Ges.m.b.H.,Haimhausen,Braunau,5142,Eggelsberg,---,Bodenaushubdeponie,48.10106,12.99188
Hans Arthofer Gesellschaft m.b.H. & Co. KG.,Deponie Mußbach,Eferding,4081,Mußbach,keine Adresse,Bodenaushubdeponie,48.39777,13.96451
Hans Arthofer Gesellschaft m.b.H. & Co. KG.,Deponie Rudling,Eferding,4070,Oberrudling,"-",Bodenaushubdeponie,48.30268,13.9789
HASENÖHRL GmbH,BA-Engerwitzdorf,Urfahr-Umgebung,4209,Engerwitzdorf,keine Adresse,Bodenaushubdeponie,48.35963,14.38086
HASENÖHRL GmbH,BA-Holzwiesen,Urfahr-Umgebung,4209,Engerwitzdorf,Holzwiesen,Bodenaushubdeponie,48.33215,14.39805
HASENÖHRL GmbH,Bodenaushub- und Baurestmassendeponie Neuhofen,Linz-Land,4501,Dambach,Umachlstraße,Bodenaushubdeponie,48.15424,14.2189
HASENÖHRL GmbH,Bodenaushub- und Baurestmassendeponie Neuhofen,Linz-Land,4501,Dambach,Umachlstraße,Baurestmassendeponie,48.15352,14.21794
HASENÖHRL GmbH,Bodenaushub- und Baurestmassendeponie Neuhofen,Linz-Land,4501,Dambach,Umachlstraße,Kompartiment für Asbestabfälle,48.15304,14.2164
HASENÖHRL GmbH,Bodenaushubdeponie II Sierning,Steyr-Land,4531,Sierning,Sierninghofenstraße 125a,Bodenaushubdeponie,48.04332,14.32299
HASENÖHRL GmbH,Bodenaushubdeponie Klinglmair Piberbach,Linz-Land,4533,Piberbach,keine Adresse,Bodenaushubdeponie,48.0921,14.20489
Hehenberger Gesellschaft m.b.H. & Co KG,Bodenaushubdeponie Mitterstroheim,Eferding,4074,Mitterstroheim,Mitterstroheim,Bodenaushubdeponie,48.33187,13.95391
HERBERT HANGÖBL GMBH,Standort Grabner,Braunau,5134,Gries,Berg 2,Bodenaushubdeponie,48.20608,12.97781
Hubert Hofinger GmbH,Bodenaushubdeponie Wildenhag,Vöcklabruck,4880,St. Georgen im Attergau,Innerlohen 6,Bodenaushubdeponie,47.90801,13.49989
Jandl Transport Gesellschaft m.b.H.,Perwend,Wels-Land,4611,Buchkirchen,Oberperwend,Bodenaushubdeponie,48.20048,14.06395
Johann Kinberger Gesellschaft m.b.H.,Trindorferstrasse,Linz-Land,4063,Haid,Trindorferstrasse,Bodenaushubdeponie,48.21048,14.15591
Johann Mühlberger Gesellschaft m.b.H.,Zwischenlager Atzesberg,Rohrbach,4132,Atzesberg,Steinbruch Atzesberg,Bodenaushubdeponie,48.49481,13.92862
Johann Willnauer GmbH,Deponie Pesenbach,Urfahr-Umgebung,4101,Pesenbach,Pesenbach,Bodenaushubdeponie,48.347,14.0685
Josef Hauser Gesellschaft m.b.H.,5221 Babenham bei Lochen,Braunau,5221,Babenham,"-",Bodenaushubdeponie,48.0348,13.16176
Josef Muss GmbH,Deponie Ackersberg,Vöcklabruck,4872,Ackersberg,Ackersberg,Bodenaushubdeponie,48.06762,13.53854
Josef Muss GmbH,Deponie Wegleiten,Vöcklabruck,4872,Neukirchen an der Vöckla,Wegleiten,Bodenaushubdeponie,48.04259,13.55554
Käfer Baugesellschaft m.b.H.,Gaflenz,Steyr-Land,3334,Gaflenz,Großgschnaidt  11,Bodenaushubdeponie,47.92791,14.67023
Karl Hittmair e.U.,Ottnang am Hausruck,Vöcklabruck,4901,Ottnang,Laah  4,Bodenaushubdeponie,48.11389,13.65897
Katzlberger GmbH,Deponie Auerbach,Braunau,5224,Auerbach,Auerbach,Bodenaushubdeponie,48.0602,13.1027
Katzlberger GmbH,"Deponie Hochstraße, Hohenzell",Ried,4921,Hilprechting,Gonetsreith,Bodenaushubdeponie,48.19982,13.51239
Katzlberger GmbH,Deponie Riegerting,Ried,4941,Mehrnbach,Riegarding,Bodenaushubdeponie,48.19149,13.40754
Katzlberger GmbH,Deponie Wimpling Nord,Ried,4931,Nösting,Nösting,Bodenaushubdeponie,48.17064,13.37218
Kerschbaum GmbH. & Co. KG.,Kerschbaum,Braunau,5280,Braunau am Inn,Weilhartstraße 91,Bodenaushubdeponie,48.22172,12.99832
Kienberger Gesellschaft m.b.H,St.Wolfgang,Gmunden,5360,Mönichsreith,Mönichsreith,Bodenaushubdeponie,47.72426,13.50552
Kieninger Gesellschaft m.b.H.,Bad Goisern/Wildpfad,Gmunden,4822,Wildpfad,Wildpfad 0,Bodenaushubdeponie,47.65131,13.60242
KOFLER & PARTNER GmbH,KOFLER & PARTNER GmbH,Vöcklabruck,4860,Lenzing,Kraims  1,Bodenaushubdeponie,47.966,13.62904
Krempelbauer-Quarzsandwerk St. Georgen Hentschläger & Co.KG.,Luftenberg,Perg,4225,Pürach,Pürach 10,Bodenaushubdeponie,48.28122,14.43675
Leube Quarzsande GmbH,Deponie Staudach,Eferding,4072,Staudach,"1135/1, 1135/2, 1185 je KG Puchham",Bodenaushubdeponie,48.27557,14.05775
Limberger GmbH,Bodenaushubdeponie Längau,Gmunden,4645,Grünau im Almtal,---,Bodenaushubdeponie,47.81265,13.95106
LINZ SERVICE GmbH für Infrastruktur und Kommunale Dienste,Abfallbehandlungsanlagen Asten/Fisching,Linz-Land,4481,Asten,Auseestraße 2,Reststoffdeponie,48.23312,14.41683
LINZ SERVICE GmbH für Infrastruktur und Kommunale Dienste,Abfallbehandlungsanlagen Asten/Fisching,Linz-Land,4481,Asten,Auseestraße 2,Reststoffdeponie,48.23439,14.41911
LINZ SERVICE GmbH für Infrastruktur und Kommunale Dienste,Standort Asten-Regionalkläranlage,Linz-Land,4481,Asten,Ipfdorfer Straße 7,Reststoffdeponie,48.24232,14.41213
Lohninger Gerald,Bodenaushubdeponie Mösendorf II,Vöcklabruck,4870,Mösendorf,Mösendorf 69,Bodenaushubdeponie,47.98847,13.47405
Lohninger GmbH,"Bodenaushubdeponie ""Berg""",Gmunden,4655,Vorchdorf,Berg,Bodenaushubdeponie,47.99738,13.89091
Ludwig Brunnbauer GmbH,Deponie Knauseder,Braunau,5251,Höhnhart,Oberaichberg  2,Bodenaushubdeponie,48.14426,13.29582
Maislinger-Ruf Roman Hermann,Kieswerk Maislinger,Braunau,5282,Ranshofen,Weilhartstr.  71,Bodenaushubdeponie,48.22478,13.00388
Marktgemeinde Gunskirchen,Gänsanger 2015,Wels-Land,4623,Gänsanger,Krenglbacher Straße 22,Bodenaushubdeponie,48.13969,13.94949
Marktgemeinde Mettmach,Deponie Neundling,Ried,4931,Mettmach,Neundling 5,Bodenaushubdeponie,48.18874,13.37466
Marktgemeinde Unterweißenbach,Grüner-Graben,Freistadt,4273,Unterweißenbach,,Bodenaushubdeponie,0,0
Marktgemeinde Weitersfelden,Bodenaushaubdeponie,Freistadt,4272,Harrachstal,Harrachstal,Bodenaushubdeponie,48.50722,14.69869
Matthias Grünberger GmbH,St. Marienkirchen,Schärding,4774,Wernhartsgrub,Wernhartsgrub  16,Bodenaushubdeponie,48.36442,13.47337
Matthias Grünberger GmbH,Sumetsrad,Schärding,4791,Sumetsrad,Sumetsrad,Bodenaushubdeponie,48.45616,13.54157
Michetschläger GmbH,Fischlham,Wels-Land,4652,Fischlham,Fischlham,Bodenaushubdeponie,48.08694,13.95752
Mittendorfer Bau GmbH & Co KG,Bromberg Ebensee,Gmunden,4802,Ebensee,Gst. Nr. 616/626,Bodenaushubdeponie,47.77571,13.73826
Moser GmbH,Pettendorf,Steyr-Land,3334,Pettendorf,Pettendorf 68,Bodenaushubdeponie,47.88959,14.70524
Mühlviertler Schotterindustrie Gesellschaft m.b.H.,Standort Lasberg,Freistadt,4291,Lasberg,Gunnersdorf 27,Bodenaushubdeponie,48.48891,14.54437
Mühlviertler Schotterindustrie Gesellschaft m.b.H.,Standort Lasberg,Freistadt,4291,Lasberg,Gunnersdorf 27,Kompartiment für Asbestabfälle,48.4902,14.54546
Müllverwertungs- und Mülldeponie- betriebsgesellschaft m.b.H.,Müllverwertungs-uMülldeponiebetriebsGmbH,Ried,4974,Aichberg,Aichberg 4,Massenabfalldeponie,48.32581,13.43357
Muss Sand- und Kies GmbH,Kieswerk Kaineder,Vöcklabruck,4873,Otzigen,Otzigen 8,Bodenaushubdeponie,48.09195,13.45447
"Neulinger & Leidinger Transporte, Gesellschaft m.b.H.",Bodenaushubdeponie Krena,Schärding,4755,Zell an der Pram,"-",Bodenaushubdeponie,48.31418,13.64799
Neureiter GmbH,Grube Hochburg-Ach,Braunau,5122,Ach,Grünhilling,Bodenaushubdeponie,48.15831,12.87705
Neureiter GmbH,Grube Döstling,Braunau,5121,Döstling,Wolfing 1,Bodenaushubdeponie,48.06194,12.84579
Niederndorfer Kieswerke - Transportbeton Gesellschaft m.b.H.,Redlham,Vöcklabruck,4846,Redlham,Redlham 222,Bodenaushubdeponie,48.02001,13.74854
Nöhmer Gesellschaft m.b.H. & Co.KG,"Ramsau, Nußdorf",Vöcklabruck,4865,Aichereben,Ramsau,Bodenaushubdeponie,47.84254,13.51178
Nöhmer Gesellschaft m.b.H. & Co.KG,Schottergrube Almstube,Vöcklabruck,4853,Weißenbach am Attersee,Ischler Strasse,Bodenaushubdeponie,47.79275,13.56786
OBERMAIR Transporte-Erdbau GmbH,KG Kaufing,Vöcklabruck,4690,Rüstorf,Pauraer Straße,Bodenaushubdeponie,48.05876,13.81219
Ofenmacher Baugesellschaft m.b.H.,Überackern,Braunau,5123,Überackern,Kreuzlinden,Bodenaushubdeponie,48.18083,12.87336
Pfaffinger Kies GmbH,Geretsberg,Braunau,5132,Webersdorf,Dreibuchenweg,Bodenaushubdeponie,48.10582,12.93385
Pfaffinger Kies GmbH,Klingergrube,Braunau,5121,Eichbichl,Eichbichl,Bodenaushubdeponie,48.0737,12.80724
PGEA GmbH,Deponie Nöhammer,Vöcklabruck,4690,Rüstorf,Buchleiten,Bodenaushubdeponie,48.03557,13.77516
PORR Bau GmbH,OÖ / Weißkirchen / DA,Wels-Land,4616,Weißkirchen,Puckinger Straße,Bodenaushubdeponie,48.1701,14.13489
PORR Umwelttechnik GmbH,Oberdietach,Steyr(Stadt),4407,Steyr,Thannstraße,Reststoffdeponie,48.12639,14.40005
