gkz,name,center_lng,center_lat,Sonst._votes,Sonst._percent,SPÖ_votes,SPÖ_percent,ÖVP_votes,ÖVP_percent,FPÖ_votes,FPÖ_percent,GRÜNE_votes,GRÜNE_percent,KPÖ_votes,KPÖ_percent,BIER_votes,BIER_percent,NEOS_votes,NEOS_percent,MFG_votes,MFG_percent,KEINE_votes,KEINE_percent,LMP_votes,LMP_percent,BGE_votes,BGE_percent,GAZA_votes,GAZA_percent,NW_votes,NW_percent
41501,Adlwang,14.2128616,47.9978313,0,0.0,187,14.37,391,30.05,452,34.74,118,9.07,16,1.23,22,1.69,76,5.84,9,0.69,11,0.85,11,0.85,0,0.0,8,0.61,0,0.0
50202,Adnet,13.1577805,47.7117392,0,0.0,314,13.59,841,36.39,652,28.21,186,8.05,49,2.12,35,1.51,196,8.48,6,0.26,23,1.0,9,0.39,0,0.0,0,0.0,0,0.0
41801,Aichkirchen,13.7773351,48.1157694,0,0.0,34,8.74,122,31.36,148,38.05,20,5.14,8,2.06,8,2.06,37,9.51,5,1.29,4,1.03,3,0.77,0,0.0,0,0.0,0,0.0
41343,Aigen-Schlägl,13.9903463,48.6576903,0,0.0,247,12.69,660,33.9,669,34.36,119,6.11,23,1.18,33,1.69,149,7.65,20,1.03,15,0.77,10,0.51,0,0.0,2,0.1,0,0.0
40801,Aistersheim,13.7407394,48.1850101,0,0.0,78,12.85,175,28.83,232,38.22,40,6.59,4,0.66,14,2.31,53,8.73,5,0.82,3,0.49,3,0.49,0,0.0,0,0.0,0,0.0
41601,Alberndorf in der Riedmark,14.4092865,48.3972058,0,0.0,460,16.3,791,28.03,940,33.31,234,8.29,45,1.59,53,1.88,221,7.83,34,1.2,27,0.96,14,0.5,0,0.0,3,0.11,0,0.0
40501,Alkoven,14.0947214,48.2850997,0,0.0,951,25.39,889,23.73,1099,29.34,274,7.31,56,1.49,66,1.76,339,9.05,19,0.51,25,0.67,21,0.56,0,0.0,7,0.19,0,0.0
41101,Allerheiligen im Mühlkreis,14.6378549,48.3028813,0,0.0,188,21.01,298,33.3,254,28.38,43,4.8,16,1.79,23,2.57,48,5.36,13,1.45,5,0.56,7,0.78,0,0.0,0,0.0,0,0.0
41001,Allhaming,14.1737974,48.1556772,0,0.0,117,15.6,246,32.8,213,28.4,47,6.27,8,1.07,13,1.73,89,11.87,3,0.4,5,0.67,8,1.07,0,0.0,1,0.13,0,0.0
41602,Altenberg bei Linz,14.3356091,48.3773189,0,0.0,457,14.01,1303,39.96,696,21.34,344,10.55,39,1.2,35,1.07,307,9.41,24,0.74,23,0.71,28,0.86,0,0.0,5,0.15,0,0.0
41304,Altenfelden,13.9599831,48.4884089,0,0.0,181,12.76,397,28.0,501,35.33,103,7.26,28,1.97,31,2.19,129,9.1,13,0.92,11,0.78,21,1.48,0,0.0,3,0.21,0,0.0
61205,Altenmarkt bei Sankt Gallen,14.7037201,47.7275498,0,0.0,187,38.01,119,24.19,110,22.36,22,4.47,15,3.05,5,1.02,22,4.47,5,1.02,3,0.61,4,0.81,0,0.0,0,0.0,0,0.0
40401,Altheim,13.23346,48.2428888,0,0.0,468,17.96,604,23.18,1031,39.56,159,6.1,42,1.61,43,1.65,185,7.1,44,1.69,15,0.58,13,0.5,0,0.0,2,0.08,0,0.0
32519,Altmelon,14.9603376,48.4383752,0,0.0,33,5.51,232,38.73,267,44.57,6,1.0,8,1.34,7,1.17,33,5.51,3,0.5,7,1.17,3,0.5,0,0.0,0,0.0,0,0.0
40701,Altmünster,13.7063717,47.8797152,0,0.0,1084,17.12,1873,29.58,1693,26.73,624,9.85,97,1.53,122,1.93,692,10.93,64,1.01,38,0.6,43,0.68,0,0.0,3,0.05,0,0.0
41401,Altschwendt,13.6800119,48.3239795,0,0.0,79,16.67,151,31.86,170,35.86,25,5.27,4,0.84,11,2.32,22,4.64,7,1.48,2,0.42,1,0.21,0,0.0,2,0.42,0,0.0
41701,Ampflwang im Hausruckwald,13.5536781,48.0959611,0,0.0,630,33.4,353,18.72,623,33.03,74,3.92,29,1.54,43,2.28,92,4.88,14,0.74,15,0.8,13,0.69,0,0.0,0,0.0,0,0.0
41402,Andorf,13.566077,48.3595258,0,0.0,443,14.28,958,30.88,1223,39.43,179,5.77,37,1.19,44,1.42,166,5.35,27,0.87,17,0.55,8,0.26,0,0.0,0,0.0,0,0.0
41201,Andrichsfurt,13.5130012,48.2649142,0,0.0,45,9.28,192,39.59,173,35.67,17,3.51,8,1.65,6,1.24,36,7.42,2,0.41,2,0.41,4,0.82,0,0.0,0,0.0,0,0.0
50301,Anif,13.0613618,47.7433421,0,0.0,300,12.77,807,34.34,552,23.49,268,11.4,58,2.47,35,1.49,291,12.38,6,0.26,12,0.51,21,0.89,0,0.0,0,0.0,0,0.0
41002,Ansfelden,14.2756936,48.2020135,0,0.0,1924,25.5,1436,19.03,2860,37.91,382,5.06,156,2.07,99,1.31,510,6.76,45,0.6,43,0.57,33,0.44,0,0.0,56,0.74,0,0.0
50302,Anthering,13.0082247,47.8920862,0,0.0,254,11.11,835,36.51,606,26.5,241,10.54,68,2.97,47,2.06,193,8.44,11,0.48,21,0.92,11,0.48,0,0.0,0,0.0,0,0.0
41202,Antiesenhofen,13.3981484,48.3519993,0,0.0,79,13.1,182,30.18,250,41.46,22,3.65,11,1.82,15,2.49,35,5.8,3,0.5,4,0.66,2,0.33,0,0.0,0,0.0,0,0.0
32502,Arbesbach,14.9419779,48.4861735,0,0.0,70,6.32,416,37.58,462,41.73,43,3.88,10,0.9,20,1.81,63,5.69,6,0.54,9,0.81,7,0.63,0,0.0,1,0.09,0,0.0
41102,Arbing,14.7105052,48.2336565,0,0.0,168,17.13,300,30.58,294,29.97,110,11.21,6,0.61,19,1.94,56,5.71,11,1.12,7,0.71,9,0.92,0,0.0,1,0.1,0,0.0
30503,Ardagger,14.827221,48.169729,0,0.0,307,12.65,880,36.26,776,31.97,161,6.63,42,1.73,45,1.85,163,6.72,18,0.74,17,0.7,16,0.66,0,0.0,2,0.08,0,0.0
41305,Arnreit,13.9906139,48.5265135,0,0.0,71,8.86,318,39.7,227,28.34,74,9.24,12,1.5,9,1.12,58,7.24,15,1.87,9,1.12,5,0.62,0,0.0,3,0.37,0,0.0
